Question ID,Question,Option 1,Option 2,Option 3,Option 4
1,I enjoy solving logical puzzles and brain-teasers.,Strongly Agree,Agree,Neutral,Disagree
2,I am interested in how computers and software work.,Strongly Agree,Agree,Neutral,Disagree
3,I find it exciting to write code or create applications.,Strongly Agree,Agree,Neutral,Disagree
4,I am curious about artificial intelligence and machine learning.,Strongly Agree,Agree,Neutral,Disagree
5,I enjoy working on projects that involve databases.,Strongly Agree,Agree,Neutral,Disagree
6,I like designing user-friendly interfaces or websites.,Strongly Agree,Agree,Neutral,Disagree
7,I am interested in cybersecurity and data protection.,Strongly Agree,Agree,Neutral,Disagree
8,I like automating repetitive tasks using technology.,Strongly Agree,Agree,Neutral,Disagree
9,I enjoy analyzing and solving technical problems.,Strongly Agree,Agree,Neutral,Disagree
10,I prefer working in teams on software development projects.,Strongly Agree,Agree,Neutral,Disagree
11,I am curious about developing mobile applications.,Strongly Agree,Agree,Neutral,Disagree
12,I like experimenting with computer hardware.,Strongly Agree,Agree,Neutral,Disagree
13,I enjoy learning new programming languages.,Strongly Agree,Agree,Neutral,Disagree
14,I am interested in data visualization and analytics.,Strongly Agree,Agree,Neutral,Disagree
15,I enjoy the idea of working in the tech industry.,Strongly Agree,Agree,Neutral,Disagree
16,I enjoy observing and analyzing the design of buildings.,Strongly Agree,Agree,Neutral,Disagree
17,I am interested in infrastructure projects like bridges or dams.,Strongly Agree,Agree,Neutral,Disagree
18,I am curious about construction techniques and materials.,Strongly Agree,Agree,Neutral,Disagree
19,I enjoy working on structural designs and blueprints.,Strongly Agree,Agree,Neutral,Disagree
20,I am fascinated by urban planning and architecture.,Strongly Agree,Agree,Neutral,Disagree
21,I want to work on projects that improve transportation systems.,Strongly Agree,Agree,Neutral,Disagree
22,I am interested in land surveying and topographical studies.,Strongly Agree,Agree,Neutral,Disagree
23,I like solving problems related to load distribution in structures.,Strongly Agree,Agree,Neutral,Disagree
24,I enjoy working outdoors on-site for projects.,Strongly Agree,Agree,Neutral,Disagree
25,I find satisfaction in building things from scratch.,Strongly Agree,Agree,Neutral,Disagree
26,I am interested in sustainable and green construction methods.,Strongly Agree,Agree,Neutral,Disagree
27,I like studying maps and layouts of construction projects.,Strongly Agree,Agree,Neutral,Disagree
28,I prefer projects that involve teamwork and collaboration.,Strongly Agree,Agree,Neutral,Disagree
29,I enjoy the idea of constructing safe and durable structures.,Strongly Agree,Agree,Neutral,Disagree
30,I am excited about shaping the physical environment.,Strongly Agree,Agree,Neutral,Disagree
31,I am passionate about solving environmental problems.,Strongly Agree,Agree,Neutral,Disagree
32,I enjoy working on projects that reduce pollution.,Strongly Agree,Agree,Neutral,Disagree
33,I am interested in renewable energy systems.,Strongly Agree,Agree,Neutral,Disagree
34,I like studying how human activity affects the environment.,Strongly Agree,Agree,Neutral,Disagree
35,I am curious about waste management and recycling methods.,Strongly Agree,Agree,Neutral,Disagree
36,I am interested in improving water quality and sanitation.,Strongly Agree,Agree,Neutral,Disagree
37,I enjoy learning about climate change and mitigation strategies.,Strongly Agree,Agree,Neutral,Disagree
38,I like working on sustainable solutions for energy use.,Strongly Agree,Agree,Neutral,Disagree
39,I am fascinated by ecosystems and biodiversity.,Strongly Agree,Agree,Neutral,Disagree
40,I prefer working in outdoor environments.,Strongly Agree,Agree,Neutral,Disagree
41,I enjoy designing solutions to reduce carbon footprints.,Strongly Agree,Agree,Neutral,Disagree
42,I am interested in projects involving soil conservation.,Strongly Agree,Agree,Neutral,Disagree
43,I want to work on renewable energy projects like solar or wind.,Strongly Agree,Agree,Neutral,Disagree
44,I enjoy collaborating on projects for environmental conservation.,Strongly Agree,Agree,Neutral,Disagree
45,I feel motivated to create a healthier environment for future generations.,Strongly Agree,Agree,Neutral,Disagree
46,I enjoy working with tools and machines.,Strongly Agree,Agree,Neutral,Disagree
47,I am interested in designing mechanical systems.,Strongly Agree,Agree,Neutral,Disagree
48,I am curious about how engines and vehicles work.,Strongly Agree,Agree,Neutral,Disagree
49,I enjoy solving problems related to fluid mechanics.,Strongly Agree,Agree,Neutral,Disagree
50,I like projects involving robotics and automation.,Strongly Agree,Agree,Neutral,Disagree
51,I am interested in manufacturing processes and technologies.,Strongly Agree,Agree,Neutral,Disagree
52,I enjoy understanding thermal dynamics and heat transfer.,Strongly Agree,Agree,Neutral,Disagree
53,I am fascinated by mechanical structures and their designs.,Strongly Agree,Agree,Neutral,Disagree
54,I like working on projects related to renewable energy machines.,Strongly Agree,Agree,Neutral,Disagree
55,I enjoy experimenting with mechanical components.,Strongly Agree,Agree,Neutral,Disagree
56,I am excited about innovations in automotive engineering.,Strongly Agree,Agree,Neutral,Disagree
57,"I prefer practical, hands-on problem-solving.",Strongly Agree,Agree,Neutral,Disagree
58,I am interested in materials science and engineering.,Strongly Agree,Agree,Neutral,Disagree
59,I like working with CAD software for mechanical designs.,Strongly Agree,Agree,Neutral,Disagree
60,I am curious about the future of industrial machinery.,Strongly Agree,Agree,Neutral,Disagree
61,I enjoy studying circuits and electronics.,Strongly Agree,Agree,Neutral,Disagree
62,I am curious about how power systems operate.,Strongly Agree,Agree,Neutral,Disagree
63,I am interested in renewable energy solutions like solar power.,Strongly Agree,Agree,Neutral,Disagree
64,I enjoy solving problems related to electrical systems.,Strongly Agree,Agree,Neutral,Disagree
65,I am fascinated by electric motors and transformers.,Strongly Agree,Agree,Neutral,Disagree
66,I like designing and testing electrical equipment.,Strongly Agree,Agree,Neutral,Disagree
67,I am curious about how batteries and energy storage work.,Strongly Agree,Agree,Neutral,Disagree
68,I enjoy studying and working on control systems.,Strongly Agree,Agree,Neutral,Disagree
69,I prefer hands-on work involving wiring and circuits.,Strongly Agree,Agree,Neutral,Disagree
70,I am interested in automation and electrical systems in industries.,Strongly Agree,Agree,Neutral,Disagree
71,I enjoy working on projects related to smart grids.,Strongly Agree,Agree,Neutral,Disagree
72,I am fascinated by electrical safety systems.,Strongly Agree,Agree,Neutral,Disagree
73,I want to contribute to advancing electrical infrastructure.,Strongly Agree,Agree,Neutral,Disagree
74,I like working on projects involving renewable energy grids.,Strongly Agree,Agree,Neutral,Disagree
75,I enjoy experimenting with innovative electrical technologies.,Strongly Agree,Agree,Neutral,Disagree
76,I enjoy working with electronic devices.,Strongly Agree,Agree,Neutral,Disagree
77,I am fascinated by the principles of signal processing.,Strongly Agree,Agree,Neutral,Disagree
78,I like learning about telecommunication systems.,Strongly Agree,Agree,Neutral,Disagree
79,I am curious about designing microchips and circuits.,Strongly Agree,Agree,Neutral,Disagree
80,I enjoy solving problems in wireless communication.,Strongly Agree,Agree,Neutral,Disagree
81,I am interested in satellite and radar systems.,Strongly Agree,Agree,Neutral,Disagree
82,I like studying communication protocols like 5G.,Strongly Agree,Agree,Neutral,Disagree
83,I am fascinated by innovations in IoT (Internet of Things).,Strongly Agree,Agree,Neutral,Disagree
84,I enjoy working on audio and video transmission projects.,Strongly Agree,Agree,Neutral,Disagree
85,I am curious about radio-frequency engineering.,Strongly Agree,Agree,Neutral,Disagree
86,I like experimenting with embedded systems and sensors.,Strongly Agree,Agree,Neutral,Disagree
87,I am interested in projects involving robotics and electronics.,Strongly Agree,Agree,Neutral,Disagree
88,I want to contribute to developing smarter communication systems.,Strongly Agree,Agree,Neutral,Disagree
89,I enjoy learning about analog and digital signal processing.,Strongly Agree,Agree,Neutral,Disagree
90,I am excited about working in advanced electronics fields.,Strongly Agree,Agree,Neutral,Disagree
